text,entities
"Goldman Sachs posted Q2 earnings in San Francisco on Q1 2023, showing a revenue of $500M and growth of 7%.","[{'start': 0, 'end': 13, 'label': 'ORG'}, {'start': 36, 'end': 49, 'label': 'LOC'}, {'start': 53, 'end': 60, 'label': 'DATE'}, {'start': 83, 'end': 88, 'label': 'MONEY'}, {'start': 103, 'end': 105, 'label': 'PERCENT'}]"
"JP Morgan Chase launched a fintech app in Singapore on Q2 2023, showing a revenue of $2.5B and growth of 3.75%.","[{'start': 0, 'end': 15, 'label': 'ORG'}, {'start': 42, 'end': 51, 'label': 'LOC'}, {'start': 55, 'end': 62, 'label': 'DATE'}, {'start': 85, 'end': 90, 'label': 'MONEY'}, {'start': 105, 'end': 110, 'label': 'PERCENT'}]"
"Wells Fargo launched a fintech app in San Francisco on January 10, 2024, showing a revenue of $750M and growth of 10%.","[{'start': 0, 'end': 11, 'label': 'ORG'}, {'start': 38, 'end': 51, 'label': 'LOC'}, {'start': 55, 'end': 71, 'label': 'DATE'}, {'start': 94, 'end': 99, 'label': 'MONEY'}, {'start': 114, 'end': 117, 'label': 'PERCENT'}]"
"Goldman Sachs issued new credit cards in London on January 10, 2024, showing a revenue of $500M and growth of 3.75%.","[{'start': 0, 'end': 13, 'label': 'ORG'}, {'start': 41, 'end': 47, 'label': 'LOC'}, {'start': 51, 'end': 67, 'label': 'DATE'}, {'start': 90, 'end': 95, 'label': 'MONEY'}, {'start': 110, 'end': 115, 'label': 'PERCENT'}]"
"Wells Fargo issued new credit cards in London on Q3 2023, showing a revenue of $500M and growth of 7%.","[{'start': 0, 'end': 11, 'label': 'ORG'}, {'start': 39, 'end': 45, 'label': 'LOC'}, {'start': 49, 'end': 56, 'label': 'DATE'}, {'start': 79, 'end': 84, 'label': 'MONEY'}, {'start': 99, 'end': 101, 'label': 'PERCENT'}]"
"Bank of America posted Q2 earnings in Singapore on 12/31/2023, showing a revenue of $750M and growth of 10%.","[{'start': 0, 'end': 15, 'label': 'ORG'}, {'start': 38, 'end': 47, 'label': 'LOC'}, {'start': 51, 'end': 61, 'label': 'DATE'}, {'start': 84, 'end': 89, 'label': 'MONEY'}, {'start': 104, 'end': 107, 'label': 'PERCENT'}]"
"Morgan Stanley opened a new branch in New York on Q2 2023, showing a revenue of $1B and growth of 7%.","[{'start': 0, 'end': 14, 'label': 'ORG'}, {'start': 38, 'end': 46, 'label': 'LOC'}, {'start': 50, 'end': 57, 'label': 'DATE'}, {'start': 80, 'end': 83, 'label': 'MONEY'}, {'start': 98, 'end': 100, 'label': 'PERCENT'}]"
"Bank of America issued new credit cards in San Francisco on January 10, 2024, showing a revenue of 1.2 billion dollars and growth of 7%.","[{'start': 0, 'end': 15, 'label': 'ORG'}, {'start': 43, 'end': 56, 'label': 'LOC'}, {'start': 60, 'end': 76, 'label': 'DATE'}, {'start': 99, 'end': 118, 'label': 'MONEY'}, {'start': 133, 'end': 135, 'label': 'PERCENT'}]"
"Wells Fargo launched a fintech app in Singapore on January 10, 2024, showing a revenue of $500M and growth of 10%.","[{'start': 0, 'end': 11, 'label': 'ORG'}, {'start': 38, 'end': 47, 'label': 'LOC'}, {'start': 51, 'end': 67, 'label': 'DATE'}, {'start': 90, 'end': 95, 'label': 'MONEY'}, {'start': 110, 'end': 113, 'label': 'PERCENT'}]"
"Wells Fargo posted Q2 earnings in Toronto on Q1 2023, showing a revenue of $3.2B and growth of 5%.","[{'start': 0, 'end': 11, 'label': 'ORG'}, {'start': 34, 'end': 41, 'label': 'LOC'}, {'start': 45, 'end': 52, 'label': 'DATE'}, {'start': 75, 'end': 80, 'label': 'MONEY'}, {'start': 95, 'end': 97, 'label': 'PERCENT'}]"
"Bank of America reported profits in Toronto on Q3 2023, showing a revenue of 1.2 billion dollars and growth of 10%.","[{'start': 0, 'end': 15, 'label': 'ORG'}, {'start': 36, 'end': 43, 'label': 'LOC'}, {'start': 47, 'end': 54, 'label': 'DATE'}, {'start': 77, 'end': 96, 'label': 'MONEY'}, {'start': 111, 'end': 114, 'label': 'PERCENT'}]"
"Bank of America launched a fintech app in San Francisco on 12/31/2023, showing a revenue of $750M and growth of 3.75%.","[{'start': 0, 'end': 15, 'label': 'ORG'}, {'start': 42, 'end': 55, 'label': 'LOC'}, {'start': 59, 'end': 69, 'label': 'DATE'}, {'start': 92, 'end': 97, 'label': 'MONEY'}, {'start': 112, 'end': 117, 'label': 'PERCENT'}]"
"Wells Fargo launched a fintech app in San Francisco on January 10, 2024, showing a revenue of $3.2B and growth of 10%.","[{'start': 0, 'end': 11, 'label': 'ORG'}, {'start': 38, 'end': 51, 'label': 'LOC'}, {'start': 55, 'end': 71, 'label': 'DATE'}, {'start': 94, 'end': 99, 'label': 'MONEY'}, {'start': 114, 'end': 117, 'label': 'PERCENT'}]"
"HSBC reported profits in Toronto on January 10, 2024, showing a revenue of 1.2 billion dollars and growth of 10%.","[{'start': 0, 'end': 4, 'label': 'ORG'}, {'start': 25, 'end': 32, 'label': 'LOC'}, {'start': 36, 'end': 52, 'label': 'DATE'}, {'start': 75, 'end': 94, 'label': 'MONEY'}, {'start': 109, 'end': 112, 'label': 'PERCENT'}]"
"HSBC opened a new branch in San Francisco on January 10, 2024, showing a revenue of $2.5B and growth of 7%.","[{'start': 0, 'end': 4, 'label': 'ORG'}, {'start': 28, 'end': 41, 'label': 'LOC'}, {'start': 45, 'end': 61, 'label': 'DATE'}, {'start': 84, 'end': 89, 'label': 'MONEY'}, {'start': 104, 'end': 106, 'label': 'PERCENT'}]"
